time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1753429916.69397354,0.00191436,5811,0.00000591,0.00000000,0,0.00000000,976,978,2,0.00015712
1753429916.79405880,0.00251233,5826,0.00000449,0.00000000,0,0.00000000,978,979,1,0.00017256
1753429916.89387703,0.00199346,5807,0.00000187,0.00000000,0,0.00000000,979,979,1,0.00013586
1753429916.99385118,0.00249848,5868,0.00000844,0.00000000,0,0.00000000,979,980,1,0.00017217
1753429917.09398818,0.00262280,5812,0.00000608,0.00000000,0,0.00000000,980,981,1,0.00013755
1753429917.19390869,0.00257125,5841,0.00000504,0.00000000,0,0.00000000,981,982,1,0.00024196
1753429917.29373288,0.00216202,5859,0.00000840,0.00000000,0,0.00000000,982,984,5,0.00014526
1753429917.39391327,0.00269583,5810,0.00001697,0.00000000,0,0.00000000,984,985,2,0.00025145
1753429917.49386334,0.00202282,5877,0.00000038,0.00000000,0,0.00000000,985,985,0,0.00024594
1753429917.59410048,0.00255705,5819,0.00000891,0.00000000,0,0.00000000,985,986,2,0.00023711
1753429917.69398952,0.00207678,5872,0.00000723,0.00000000,0,0.00000000,986,988,2,0.00017688
1753429917.79434681,0.00206997,5835,0.00000552,0.00000000,0,0.00000000,988,989,2,0.00024427
1753429917.89399457,0.00189518,5823,0.00000511,0.00000000,0,0.00000000,989,991,2,0.00017102
1753429917.99400330,0.00190092,5821,0.00000411,0.00000000,0,0.00000000,991,992,1,0.00024111
1753429918.09382677,0.00197936,5881,0.00000434,0.00000000,0,0.00000000,992,993,1,0.00018493
1753429918.19406128,0.00199686,5817,0.00000802,0.00000000,0,0.00000000,993,995,4,0.00013848
1753429918.29377365,0.00245288,5875,0.00001049,0.00000000,0,0.00000000,995,997,2,0.00014031
1753429918.39432216,0.00256856,5843,0.00000037,0.00000000,0,0.00000000,997,997,0,0.00014370
1753429918.49385309,0.00248797,5860,0.00000748,0.00000000,0,0.00000000,997,998,1,0.00013636
1753429918.59388995,0.00189282,5876,0.00000193,0.00000000,0,0.00000000,998,998,1,0.00015517
1753429918.69432902,0.00188236,5837,0.00000040,0.00000000,0,0.00000000,998,998,0,0.00095149
1753429918.79403400,0.00206324,5841,0.00000040,0.00000000,0,0.00000000,998,998,0,0.00026457
1753429918.89394093,0.00199247,5835,0.00000187,0.00000000,0,0.00000000,998,998,1,0.00027623
1753429918.99390268,0.00219896,5813,0.00000549,0.00000000,0,0.00000000,998,999,2,0.00014863
1753429919.09385872,0.00259172,5833,0.00001174,0.00000000,0,0.00000000,999,1001,4,0.00014563
1753429919.19391918,0.00246197,5865,0.00000558,0.00000000,0,0.00000000,1001,1002,1,0.00019336
